sheet_name,rows,cols,header_row_index,year_count,first_year,last_year,entity_row_count,sample_entities,top_entities_latest_year,has_growth_info,has_share_info
Contents,122,1,,0,,,0,[],[],False,False
Total Energy Supply (TES) -EJ,124,64,2.0,60,1965.0,2024.0,111,"['Canada', 'Mexico', 'US', 'Total North America', 'Argentina', 'Brazil', 'Chile', 'Colombia', 'Ecuador', 'Peru']","[{'entity': 'Total World', 'value': 592.2167427614952}, {'entity': 'Non-OECD', 'value': 374.40585677841466}, {'entity': 'Total Asia Pacific', 'value': 279.23931649652553}, {'entity': 'of which: OECD', 'value': 217.81088598308077}, {'entity': 'China', 'value': 158.88335297588344}]",True,True
TES by fuel,99,15,,0,,,0,[],[],False,False
TES per Capita,124,63,2.0,60,1965.0,2024.0,111,"['Canada', 'Mexico', 'US', 'Total North America', 'Argentina', 'Brazil', 'Chile', 'Colombia', 'Ecuador', 'Peru']","[{'entity': 'Iceland', 'value': 787.6481884060856}, {'entity': 'Qatar', 'value': 768.4975950190207}, {'entity': 'Singapore', 'value': 649.1911716226884}, {'entity': 'United Arab Emirates', 'value': 496.51150330045544}, {'entity': 'Kuwait', 'value': 382.95144049557183}]",True,False
CO2 from Energy,123,64,2.0,60,1965.0,2024.0,110,"['Canada', 'Mexico', 'US', 'Total North America', 'Argentina', 'Brazil', 'Chile', 'Colombia', 'Ecuador', 'Peru']","[{'entity': 'Total World', 'value': 35491.80171584641}, {'entity': 'Non-OECD', 'value': 24419.585094215065}, {'entity': 'Total Asia Pacific', 'value': 19065.673663713824}, {'entity': 'China', 'value': 11172.8455991745}, {'entity': 'of which: OECD', 'value': 11072.216621631364}]",True,True
Natural Gas Flaring,88,54,2.0,50,1975.0,2024.0,75,"['Canada', 'Mexico', 'US', 'Total North America', 'Argentina', 'Bolivia', 'Brazil', 'Colombia', 'Peru', 'Trinidad & Tobago']","[{'entity': 'Total World', 'value': 158.79116359037042}, {'entity': 'Non-OECD', 'value': 136.06982594005672}, {'entity': 'Total Middle East', 'value': 47.94363273374305}, {'entity': 'Total Africa', 'value': 32.779490608621266}, {'entity': 'Total CIS', 'value': 31.629846997040335}]",True,True
CO2 from Flaring,88,54,2.0,50,1975.0,2024.0,75,"['Canada', 'Mexico', 'US', 'Total North America', 'Argentina', 'Bolivia', 'Brazil', 'Colombia', 'Peru', 'Trinidad & Tobago']","[{'entity': 'Total World', 'value': 320.69463398711207}, {'entity': 'Non-OECD', 'value': 274.8066204685387}, {'entity': 'Total Middle East', 'value': 96.82696066906747}, {'entity': 'Total Africa', 'value': 66.2014592331715}, {'entity': 'Total CIS', 'value': 63.879638995222685}]",True,True
"CO2-Process Emissions, Methane",125,39,2.0,35,1990.0,2024.0,112,"['Canada', 'Mexico', 'US', 'Total North America', 'Argentina', 'Brazil', 'Chile', 'Colombia', 'Ecuador', 'Peru']","[{'entity': 'Total World', 'value': 4999.936053838658}, {'entity': 'Non-OECD', 'value': 4106.950212892722}, {'entity': 'Total Asia Pacific', 'value': 2181.4992145613137}, {'entity': 'China', 'value': 1355.7755425192463}, {'entity': 'of which: OECD', 'value': 892.9858409459387}]",True,True
CO2e Emissions ,112,39,2.0,35,1990.0,2024.0,100,"['Canada', 'Mexico', 'US', 'Total North America', 'Argentina', 'Brazil', 'Chile', 'Colombia', 'Ecuador', 'Peru']","[{'entity': 'Total World', 'value': 40812.43244649893}, {'entity': 'Non-OECD', 'value': 28801.341957615197}, {'entity': 'Total Asia Pacific', 'value': 21268.722956883237}, {'entity': 'China', 'value': 12533.39091014862}, {'entity': 'of which: OECD', 'value': 12011.09048888374}]",True,True
CCUS Capture Capacity,40,29,2.0,25,2000.0,2024.0,28,"['Canada', 'Mexico', 'US', 'Total North America', 'Brazil', 'Total S. & Cent. America', 'Norway', 'Other Europe', 'Total Europe', 'Russia']","[{'entity': 'Total World', 'value': 57.824}, {'entity': 'of which: OECD', 'value': 36.171}, {'entity': 'Total North America', 'value': 28.148}, {'entity': 'US', 'value': 24.136}, {'entity': 'Non-OECD', 'value': 21.653}]",True,True
Carbon Prices,18,10,,0,,,0,[],[],False,False
Oil - Proved reserves,103,8,,0,,,0,[],[],False,False
